RA,TURMA
11202230476,NB3BCJ0205-15SB
11202230476,NA1BCN0407-15SB
11202230476,NB1ESTO011-17SB
11202230476,NB2BIN0406-15SB
11202230476,NB1ESTO005-17SB
11202230476,DA1ESTO006-17SB
11202230476,DB2BCM0505-22SB
11202020701,DA1ESHC028-17SB
11202020701,DB1ESTO013-17SB
11202020701,DA2BCN0407-15SB
11202020701,DA1ESTO011-17SB
11201720542,DA1MCTA003-17SA
11201720542,DA1MCTA025-13SA
21089115,NA1ESTB005-17SB
21089115,NA1ESTB028-17SB
21089115,NA1BCS0002-15SB
21050516,NA2BIK0102-15SB
11201722176,NANHT1072-15SA
11201722176,NB3BCJ0205-15SA
11201722176,NA1ESTU021-17SA
11110611,NA1ESTO015-17SA
11110611,NAESTE021-17SA
11202021891,DA1MCTB001-17SA
11202021891,DA2BCN0407-15SA
11202021891,DB1ESTO008-17SA
11202021891,DA3BCM0505-22SA
11114713,NANHZ6015-18SA
11075015,NA1NHT5004-15SA
11075015,NAMCTD009-18SA
11075015,NA1NHT1083-16SA
11075015,NAMCTD017-18SA
11106815,NA1BHQ0001-15SB
11106815,NA1BHQ0003-15SB
11106815,NA1NHZ4081-20SB
11106815,NB1BHP0202-19SB
11100816,NA1MCZA002-17SA
11100816,NA2MCTA018-13SA
11201932521,DA1ESHR004-13SB
11201932521,NAESHR007-21SB
11201932521,NAESHR903-18SB
11201932521,NA1ESHR015-21SB
11201932521,DA1ESHP021-13SB
11202020860,NA1MCZA002-17SA
11202020860,NA1ESTO012-17SA
11202020860,NA2BCM0505-22SA
13201723216,DB1BHP0001-15SB
13201723216,NA1BHO1102-19SB
13201723216,NB2BIN0406-15SB
11019914,DA1NHZ2092-16SB
11201921917,NA2BCJ0204-15SA
11201921917,NA1BCN0404-15SA
11201921917,NB1BIN0406-15SA
11033116,NA1MCTB009-17SA
11033116,NA4BCN0407-15SA
11033116,NA1BCK0104-15SA
11033116,NA1ESTO017-17SA
11202130888,NA1ESHC028-17SB
11202130888,NB3BCN0407-15SA
11202130888,NANHH2086-16SB
11202130888,NA1ESHP028-14SB
11202130888,NA1LHZ0028-19SB
11201811540,NAESTG001-17SB
11201811540,NAESTG016-17SB
11202021147,NA1MCZA002-17SA
11202021147,NA1LIE0001-19SA
11202021147,NA2ESTO017-17SA
11202021147,NA2BCS0002-15SA
11077715,NA1MCTC001-15SB
11077715,NA1MCTC021-20SB
11201810333,NAESTG013-17SB
11201810333,NA2ESTG021-17SB
11201810333,NAESTG024-17SB
11102716,NA1ESTA017-17SA
11102716,NA1ESTO015-17SB
11102716,NB1ESTO017-17SB
11102716,NAESZE006-17SA
11202231938,NA1BIR0004-15SB
11202231938,NB2BIS0003-15SB
11202231938,NA2BCM0505-22SB
11202022127,DA1BCN0407-15SA
11202022127,DA1MCTC018-15SB
11202022127,DA1MCTC020-15SB
11202022127,DA1MCZC011-15SB
11024215,DA1ESTO013-17SA
11122115,NA1ESHP031-14SB
11122115,NA1ESHP009-13SB
11122115,NA1ESHP028-14SB
11122115,NA1ESHP019-13SB
11202020878,DB1NHT5004-15SA
11202020878,NANHH2007-13SB
11202020878,DANHZ2132-18SB
11202020878,DA1BCN0407-15SA
11202020878,DANHZ1090-15SA
11202020878,DA1BCK0104-15SA
11202020878,DA1ESTO012-17SA
11202020878,DA1ESTU031-17SA
11202130062,DA2BIS0003-15SB
11202130062,DAESZR026-21SB
11202130062,DA1ESHR024-14SB
11202130062,DA1ESHR016-21SB
11202020119,DANHT1069-15SA
11202020119,DA1BCN0404-15SA
11202020119,NA2BIN0406-15SA
11202020119,DA1BCS0002-15SA
11201810600,DA1ESTO001-17SB
11201810600,NAESTS009-17SB
11201810600,NA1ESTO008-17SB
11201810600,NA1ESTO014-17SB
11202231539,DB3BCJ0205-15SA
11202231539,DB1BCN0407-15SA
11202231539,DB2BIN0406-15SA
11202231539,DB3BCM0505-22SA
11202230600,DB2BCJ0205-15SB
11202230600,DA1BCN0407-15SB
11202230600,DB1BIN0406-15SB
11202230600,DA2BCM0505-22SB
11202231616,DA2NHI5002-15SA
11202231616,DB1BIK0102-15SA
11202231616,DA1NHZ2099-16SA
11080416,NB2ESTO011-17SA
11080416,NA3ESTU009-17SA
11080416,NAMCTD017-18SA
11201810121,NA1MCZC002-15SB
11201810121,DANHT1072-15SA
11201810121,NA2ESTB024-17SB
11201810121,NA1LHZ0035-19SB
11202230505,NA1BIK0102-15SB
11202230505,DA1BIL0304-15SB
11202230505,NA1BCN0404-15SB
11202230505,DB2BCM0505-22SB
11202232293,DB1BIQ0602-15SA
11202232293,DB2BCJ0205-15SA
11202232293,DB1BCN0407-15SA
11202232293,DA1ESTO011-17SA
11202232293,DB3BCM0505-22SA
11202231276,NA4BIS0003-15SB
11202231276,NA1BCJ0204-15SB
11202231276,NA1BCN0407-15SB
11202231276,NA2BIN0406-15SB
11202231276,NB1ESTO005-17SB
11202111787,DA1BIJ0207-15SB
11202111787,DB1ESTO902-17SB
11202111787,DB2BCN0407-15SB
11202111787,NA2BIN0406-15SB
11202111787,DB1ESTO008-17SB
11202111787,DA1ESTO014-17SB
11202230367,NB1BHQ0002-15SA
11202230808,DA7BCJ0205-15SA
11202230808,DA2BIN0406-15SA
11202230808,DA1ESTO005-17SB
11202230808,NB1BCM0505-22SB
11021716,NA1ESTB031-18SB
11021716,NA1ESTB024-17SB
11202111325,DB2BCJ0204-15SA
11202111325,NA2BCJ0205-15SA
11202111325,DA1BCN0404-15SA
11202231518,NA1BIK0102-15SA
11202231518,NA2BIN0406-15SA
11202231518,NB6BCM0505-22SA
11202231825,NB1BCJ0205-15SB
11202231825,DB1BCN0407-15SB
11202231825,DA2ESTU009-17SA
11202231825,NB1BIN0406-15SB
11202231825,NB1BCM0505-22SB
11095316,NAESTG002-17SB
11095316,NAESTG003-17SB
11095316,NAESTG024-17SB
11202131265,NB3BIS0005-15SB
11202131265,NB2BIS0003-15SB
11201811711,NA1ESZP041-14SB
11201811711,NAESZP002-13SB
11201811711,NA1ESHT012-17SB
11201811711,NA1ESHT018-17SB
11201721585,NAESZB022-17SA
11083816,DAESTG004-17SB
11083816,NAESTA023-17SA
11083816,NAESTG013-17SB
11028112,DAESZG018-17SB
11028112,DA1ESTO016-17SA
11028112,DA1MCTB019-17SA
11201811308,NA1ESHC003-17SB
11201811308,NBESHC035-21SB
11201811308,NA1ESHC032-17SB
11201811308,NA1ESHC026-21SB
11202130136,DA1ESHR031-21SB
11202130136,DA1ESHR005-13SB
11202130136,DA1ESHR024-14SB
11202130136,DA1ESHR015-21SB
11202130136,DA1ESHR016-21SB
11201921585,NB2BCN0407-15SB
11201921585,NB1BCK0104-15SB
11201921585,NB1BIN0406-15SB
11201920585,DAESZR026-21SB
11201920585,NA1BHS0002-17SB
11201920585,DA1ESHT012-17SB
11201920585,DA1ESHP021-13SB
11201922126,DAESZG023-17SB
11201922126,NA1ESTO016-17SA
11201922126,NA2ESTA013-17SA
11201922126,NAESZI032-17SA
11201922126,NA1ESTM013-17SA
11201922126,DA2ESTE014-17SA
11202130065,DA2BCJ0205-15SA
11202130065,DA1ESTO011-17SA
11202130065,DA2BIN0406-15SA
11202130065,NA2ESTO006-17SA
11202130065,DA1MCZC018-20SB
21071515,NA1ESTO013-17SA
21071515,NA1ESHC013-21SB
11201920702,NAMCZA015-13SA
11201920702,DA2MCTA016-13SA
11102715,DA1ESTM004-17SA
11102715,NA1ESTO016-17SA
11102715,NA1ESTM017-17SA
11102715,NA1ESZM030-17SA
11102715,NA1ESZM028-17SA
11102715,NA1ESTO012-17SA
11202021962,DA1ESTB013-17SB
11202021962,DA1ESZU022-17SA
11202021962,DANHT1059-15SA
11202021962,DA1MCZC011-15SB
11202020140,NB9BCJ0205-15SA
11202020140,NB2BCN0407-15SA
11202020140,NB1BIN0406-15SA
11202020140,NA1ESTO005-17SA
11201811573,NAMCTD024-18SA
11201722213,NAESTS012-17SB
11202131122,DAESTI015-17SA
11202131122,DA1BCN0407-15SA
11202131122,DA1BCK0104-15SA
11202131122,DB1ESTO005-17SA
11056914,NA1ESTA004-17SA
11056914,DA1ESTO015-17SA
11056914,NAESTA008-17SA
11201721440,NAESZG002-17SB
11201721440,NANHH2007-13SB
11201721440,NB1BHQ0002-15SB
11201721440,NB1ESTO017-17SB
11202310003,DB3BIS0003-15SA
11202310003,DANHZ1090-15SA
11202310003,DANHT1059-15SA
11202310003,DANHT1063-15SA
11051316,NA1ESZU022-17SA
11051316,DA1ESZM041-17SA
11051316,DA1ESZM001-17SA
21040814,DANHT1013-15SA
21040814,NANHZ6013-18SA
21040814,NANHZ6008-18SA
21040814,NANHZ6005-18SA
21040814,DA1MCZC018-20SB
21040814,DANHZ6002-18SA
11201920616,NANHZ2093-16SB
11201920616,NAESTG002-17SB
11201920616,NA1LHZ0018-19SB
11201920616,NA1ESZU030-17SA
11201920616,NAESTG024-17SB
11201810344,DA1ESHT009-17SB
11201810344,DA1BIN0406-15SB
11201810344,DB1BCS0002-15SA
11201810344,DA1ESZU030-17SA
11202020199,DA1ESTB013-17SB
11202020199,NB1BIQ0602-15SB
11202020199,NA1ESTB023-17SB
11202020199,DA1ESTB031-18SB
11202020199,NA1ESTB021-17SB
11201721740,NAESZG036-17SB
11201721740,NB1BHQ0002-15SA
11201721740,NA1ESTB024-17SB
11201721740,NA1ESZM002-17SA
11201721740,NA1ESZB026-17SB
11202130889,NA1MCTB001-17SA
11202130889,NA1ESTO012-17SA
